1	113566
1	65428
1	148308
1	201116
1	55897
1	53714
1	33616
1	126346
1	59677
1	8112
1	116144
2	29600
4	22012
4	41196
4	137578
5	180423
5	80530
6	112043
7	208820
9	2861
9	168205
10	140343
11	30292
11	140024
12	48722
13	7291
14	58434
14	198882
15	39430
15	23827
15	151954
16	93223
16	31875
16	194043
16	75916
16	196032
16	9629
16	135462
16	198124
16	191695
16	639
16	89474
16	16126
16	153709
16	129052
16	160903
16	175563
16	39059
16	204564
16	91198
16	148107
16	187784
16	154738
16	117947
16	139439
16	1842
16	158239
16	42500
16	169110
16	163824
16	156638
16	201137
16	20427
16	18641
16	23054
16	144159
16	96023
16	111212
16	171574
16	161750
16	128150
16	96456
16	189679
16	141066
16	53219
16	120292
16	74158
16	39905
16	151306
16	131449
16	94467
16	25105
16	123618
16	135103
16	190533
16	20180
16	107785
16	111476
16	55051
16	3497
16	28640
16	210392
16	26601
16	117796
16	58693
16	160977
16	129240
16	102126
16	12343
16	106166
16	200990
16	171923
16	195234
16	159523
16	13539
16	21835
16	71903
16	173768
16	158324
16	181945
16	64908
16	40104
16	87316
16	81276
16	123688
16	185331
16	187454
16	196689
16	169004
16	27965
16	15634
16	182171
16	87694
16	80346
16	58541
16	197249
16	802
16	142174
16	62815
16	24796
16	139357
16	192232
16	96550
16	153863
16	184946
16	38138
16	179473
16	203124
16	84633
16	72139
16	22753
16	99923
16	141004
16	197541
16	133158
16	84688
16	114904
16	113154
16	34280
16	138543
16	122556
16	59170
16	202327
16	185918
16	67837
16	135225
16	159607
16	145162
16	118901
16	170315
16	99450
16	123535
16	42850
16	110522
16	74075
16	86435
16	198321
16	145368
17	36973
17	133850
17	14646
17	36982
17	44326
17	108420
17	52756
17	205108
17	76049
17	143604
17	54987
17	109156
17	115451
17	19418
17	35757
17	6765
17	17147
17	21758
17	90587
17	46212
17	199646
17	25707
17	148906
17	199855
17	118362
17	128996
17	129608
17	30249
17	114458
17	139264
17	57051
17	186520
17	116123
17	108770
17	33154
17	157850
17	43964
17	164139
17	171032
17	75787
17	202850
17	31129
17	171478
17	178246
17	131656
17	278
17	11460
17	205362
17	2883
17	12325
17	86674
17	48089
17	35412
17	3921
17	196560
17	203905
17	31152
17	101954
17	47082
17	88929
17	205402
17	187202
17	196181
17	83944
17	79302
17	25983
17	55688
17	44402
17	75008
17	174393
17	120970
17	116172
17	194252
17	5409
17	10898
17	205603
17	54498
17	175343
17	57934
17	111267
17	146725
17	210668
17	96716
17	77131
17	80388
17	133775
17	65746
17	156710
17	27688
17	15828
17	181373
17	196010
17	11957
17	106828
17	163712
17	81152
17	81974
17	199969
17	176936
17	204152
17	207357
17	100752
17	48378
17	85445
17	51140
17	2574
17	3305
17	192654
17	156349
17	185850
17	146990
17	76496
17	104762
17	63115
17	114354
17	23565
17	199787
17	42838
17	116041
17	149034
17	31655
17	132363
17	79172
17	208390
17	141591
17	62899
17	63501
17	142219
17	130954
17	92838
17	175105
17	203017
17	132990
17	16512
18	37640
18	132908
18	78983
18	68951
18	8620
18	46695
18	135304
18	32927
18	94859
18	206883
18	50138
18	23527
18	210828
18	3593
18	194252
18	196529
18	5409
18	62899
18	85193
18	187556
18	179326
18	156088
18	103811
18	185695
18	77823
18	188101
18	10191
18	188605
18	56359
18	115451
18	70160
18	158668
18	180306
18	145230
18	105188
18	33758
18	33463
18	68193
18	87172
18	17510
18	111999
18	166039
18	197188
18	55700
18	171700
18	9203
18	12696
18	104242
18	16857
18	12876
18	117486
18	205233
18	43228
18	101395
18	203905
18	10636
18	132225
18	184252
18	46578
18	148455
18	148446
18	133376
19	172744
19	210308
20	36934
20	195756
20	41622
20	185124
20	92676
20	85591
20	181787
21	130535
21	164528
23	156094
23	188127
24	164322
26	148027
26	158109
27	43785
27	107041
27	71983
27	155309
27	177526
28	27953
29	76564
29	49837
29	33207
29	186615
29	197860
29	201393
29	62357
30	199512
30	89537
30	68821
31	145470
31	190327
32	146715
33	17500
34	125875
34	72800
34	206571
35	6201
35	169561
36	76179
36	125124
36	144042
37	35489
39	162175
39	57665
39	64902
40	125121
41	188306
42	146409
43	143454
43	173313
43	70716
43	206345
43	147821
43	23307
43	152162
43	7696
43	151307
43	2164
43	107989
43	20886
43	71952
43	98197
43	101573
43	147421
43	103671
43	87285
43	70335
43	9654
43	162522
43	107233
43	92288
43	64846
43	195381
43	176765
43	183797
44	86698
44	128446
44	143509
47	128609
47	54901
48	169039
49	152046
49	407
50	101839
51	189411
51	113953
52	181306
52	13055
55	183132
55	112492
56	67892
56	194844
57	88606
57	154716
57	9547
57	134237
57	164625
57	90349
57	148281
57	27951
57	104577
57	144999
57	85303
57	154057
57	198571
57	100605
57	110558
57	44343
57	122757
57	70614
57	91215
57	64848
57	68313
57	62333
57	86166
57	46021
57	30484
57	12316
57	191146
57	63214
57	97530
57	174980
57	187844
57	183614
57	53461
57	201171
57	55789
57	70654
57	5017
57	166365
57	137595
57	41973
57	170443
